Combination Number,Criterion,Splitter,Max Depth,Min Samples Split,Min Samples Leaf,Max Features,Random State,CCP Alpha,Average F1 Score (5-fold),Average Accuracy (5-fold)
1,gini,best,,2,1,,42,0.0,0.9851920474993279,0.9852272727272726
2,gini,best,,2,1,,42,0.1,0.0048703415166829805,0.050568181818181825
3,gini,best,,2,1,,42,0.2,0.0048703415166829805,0.050568181818181825
4,gini,best,,2,1,auto,42,0.0,0.9638407508922858,0.9636363636363636
5,gini,best,,2,1,auto,42,0.1,0.0048703415166829805,0.050568181818181825
6,gini,best,,2,1,auto,42,0.2,0.0048703415166829805,0.050568181818181825
7,gini,best,,2,1,sqrt,42,0.0,0.9638407508922858,0.9636363636363636
8,gini,best,,2,1,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
9,gini,best,,2,1,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
10,gini,best,,2,1,log2,42,0.0,0.9638407508922858,0.9636363636363636
11,gini,best,,2,1,log2,42,0.1,0.0048703415166829805,0.050568181818181825
12,gini,best,,2,1,log2,42,0.2,0.0048703415166829805,0.050568181818181825
13,gini,best,,2,2,,42,0.0,0.9851467888451981,0.9852272727272726
14,gini,best,,2,2,,42,0.1,0.0048703415166829805,0.050568181818181825
15,gini,best,,2,2,,42,0.2,0.0048703415166829805,0.050568181818181825
16,gini,best,,2,2,auto,42,0.0,0.9618021884185856,0.9619318181818184
17,gini,best,,2,2,auto,42,0.1,0.0048703415166829805,0.050568181818181825
18,gini,best,,2,2,auto,42,0.2,0.0048703415166829805,0.050568181818181825
19,gini,best,,2,2,sqrt,42,0.0,0.9618021884185856,0.9619318181818184
20,gini,best,,2,2,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
21,gini,best,,2,2,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
22,gini,best,,2,2,log2,42,0.0,0.9618021884185856,0.9619318181818184
23,gini,best,,2,2,log2,42,0.1,0.0048703415166829805,0.050568181818181825
24,gini,best,,2,2,log2,42,0.2,0.0048703415166829805,0.050568181818181825
25,gini,best,,2,4,,42,0.0,0.980538203479288,0.9806818181818182
26,gini,best,,2,4,,42,0.1,0.0048703415166829805,0.050568181818181825
27,gini,best,,2,4,,42,0.2,0.0048703415166829805,0.050568181818181825
28,gini,best,,2,4,auto,42,0.0,0.9539743460275403,0.9539772727272726
29,gini,best,,2,4,auto,42,0.1,0.0048703415166829805,0.050568181818181825
30,gini,best,,2,4,auto,42,0.2,0.0048703415166829805,0.050568181818181825
31,gini,best,,2,4,sqrt,42,0.0,0.9539743460275403,0.9539772727272726
32,gini,best,,2,4,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
33,gini,best,,2,4,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
34,gini,best,,2,4,log2,42,0.0,0.9539743460275403,0.9539772727272726
35,gini,best,,2,4,log2,42,0.1,0.0048703415166829805,0.050568181818181825
36,gini,best,,2,4,log2,42,0.2,0.0048703415166829805,0.050568181818181825
37,gini,best,,5,1,,42,0.0,0.986327223712874,0.9863636363636363
38,gini,best,,5,1,,42,0.1,0.0048703415166829805,0.050568181818181825
39,gini,best,,5,1,,42,0.2,0.0048703415166829805,0.050568181818181825
40,gini,best,,5,1,auto,42,0.0,0.9627327701258601,0.9625
41,gini,best,,5,1,auto,42,0.1,0.0048703415166829805,0.050568181818181825
42,gini,best,,5,1,auto,42,0.2,0.0048703415166829805,0.050568181818181825
43,gini,best,,5,1,sqrt,42,0.0,0.9627327701258601,0.9625
44,gini,best,,5,1,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
45,gini,best,,5,1,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
46,gini,best,,5,1,log2,42,0.0,0.9627327701258601,0.9625
47,gini,best,,5,1,log2,42,0.1,0.0048703415166829805,0.050568181818181825
48,gini,best,,5,1,log2,42,0.2,0.0048703415166829805,0.050568181818181825
49,gini,best,,5,2,,42,0.0,0.9845775596872596,0.9846590909090909
50,gini,best,,5,2,,42,0.1,0.0048703415166829805,0.050568181818181825
51,gini,best,,5,2,,42,0.2,0.0048703415166829805,0.050568181818181825
52,gini,best,,5,2,auto,42,0.0,0.9608567119903502,0.9607954545454547
53,gini,best,,5,2,auto,42,0.1,0.0048703415166829805,0.050568181818181825
54,gini,best,,5,2,auto,42,0.2,0.0048703415166829805,0.050568181818181825
55,gini,best,,5,2,sqrt,42,0.0,0.9608567119903502,0.9607954545454547
56,gini,best,,5,2,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
57,gini,best,,5,2,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
58,gini,best,,5,2,log2,42,0.0,0.9608567119903502,0.9607954545454547
59,gini,best,,5,2,log2,42,0.1,0.0048703415166829805,0.050568181818181825
60,gini,best,,5,2,log2,42,0.2,0.0048703415166829805,0.050568181818181825
61,gini,best,,5,4,,42,0.0,0.980538203479288,0.9806818181818182
62,gini,best,,5,4,,42,0.1,0.0048703415166829805,0.050568181818181825
63,gini,best,,5,4,,42,0.2,0.0048703415166829805,0.050568181818181825
64,gini,best,,5,4,auto,42,0.0,0.9539743460275403,0.9539772727272726
65,gini,best,,5,4,auto,42,0.1,0.0048703415166829805,0.050568181818181825
66,gini,best,,5,4,auto,42,0.2,0.0048703415166829805,0.050568181818181825
67,gini,best,,5,4,sqrt,42,0.0,0.9539743460275403,0.9539772727272726
68,gini,best,,5,4,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
69,gini,best,,5,4,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
70,gini,best,,5,4,log2,42,0.0,0.9539743460275403,0.9539772727272726
71,gini,best,,5,4,log2,42,0.1,0.0048703415166829805,0.050568181818181825
72,gini,best,,5,4,log2,42,0.2,0.0048703415166829805,0.050568181818181825
73,gini,best,,10,1,,42,0.0,0.9863447934129305,0.9863636363636363
74,gini,best,,10,1,,42,0.1,0.0048703415166829805,0.050568181818181825
75,gini,best,,10,1,,42,0.2,0.0048703415166829805,0.050568181818181825
76,gini,best,,10,1,auto,42,0.0,0.9692290662459584,0.96875
77,gini,best,,10,1,auto,42,0.1,0.0048703415166829805,0.050568181818181825
78,gini,best,,10,1,auto,42,0.2,0.0048703415166829805,0.050568181818181825
79,gini,best,,10,1,sqrt,42,0.0,0.9692290662459584,0.96875
80,gini,best,,10,1,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
81,gini,best,,10,1,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
82,gini,best,,10,1,log2,42,0.0,0.9692290662459584,0.96875
83,gini,best,,10,1,log2,42,0.1,0.0048703415166829805,0.050568181818181825
84,gini,best,,10,1,log2,42,0.2,0.0048703415166829805,0.050568181818181825
85,gini,best,,10,2,,42,0.0,0.9834701621828031,0.9835227272727274
86,gini,best,,10,2,,42,0.1,0.0048703415166829805,0.050568181818181825
87,gini,best,,10,2,,42,0.2,0.0048703415166829805,0.050568181818181825
88,gini,best,,10,2,auto,42,0.0,0.964328057363663,0.9642045454545455
89,gini,best,,10,2,auto,42,0.1,0.0048703415166829805,0.050568181818181825
90,gini,best,,10,2,auto,42,0.2,0.0048703415166829805,0.050568181818181825
91,gini,best,,10,2,sqrt,42,0.0,0.964328057363663,0.9642045454545455
92,gini,best,,10,2,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
93,gini,best,,10,2,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
94,gini,best,,10,2,log2,42,0.0,0.964328057363663,0.9642045454545455
95,gini,best,,10,2,log2,42,0.1,0.0048703415166829805,0.050568181818181825
96,gini,best,,10,2,log2,42,0.2,0.0048703415166829805,0.050568181818181825
97,gini,best,,10,4,,42,0.0,0.980538203479288,0.9806818181818182
98,gini,best,,10,4,,42,0.1,0.0048703415166829805,0.050568181818181825
99,gini,best,,10,4,,42,0.2,0.0048703415166829805,0.050568181818181825
100,gini,best,,10,4,auto,42,0.0,0.9487910512142426,0.9488636363636364
101,gini,best,,10,4,auto,42,0.1,0.0048703415166829805,0.050568181818181825
102,gini,best,,10,4,auto,42,0.2,0.0048703415166829805,0.050568181818181825
103,gini,best,,10,4,sqrt,42,0.0,0.9487910512142426,0.9488636363636364
104,gini,best,,10,4,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
105,gini,best,,10,4,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
106,gini,best,,10,4,log2,42,0.0,0.9487910512142426,0.9488636363636364
107,gini,best,,10,4,log2,42,0.1,0.0048703415166829805,0.050568181818181825
108,gini,best,,10,4,log2,42,0.2,0.0048703415166829805,0.050568181818181825
109,gini,best,10.0,2,1,,42,0.0,0.9861850734705573,0.9863636363636363
110,gini,best,10.0,2,1,,42,0.1,0.0048703415166829805,0.050568181818181825
111,gini,best,10.0,2,1,,42,0.2,0.0048703415166829805,0.050568181818181825
112,gini,best,10.0,2,1,auto,42,0.0,0.9225608284622442,0.9232954545454545
113,gini,best,10.0,2,1,auto,42,0.1,0.0048703415166829805,0.050568181818181825
114,gini,best,10.0,2,1,auto,42,0.2,0.0048703415166829805,0.050568181818181825
115,gini,best,10.0,2,1,sqrt,42,0.0,0.9225608284622442,0.9232954545454545
116,gini,best,10.0,2,1,sqrt,42,0.1,0.0048703415166829805,0.050568181818181825
117,gini,best,10.0,2,1,sqrt,42,0.2,0.0048703415166829805,0.050568181818181825
118,gini,best,10.0,2,1,log2,42,0.0,0.9225608284622442,0.9232954545454545
119,gini,best,10.0,2,1,log2,42,0.1,0.0048703415166829805,0.050568181818181825
120,gini,best,10.0,2,1,log2,42,0.2,0.0048703415166829805,0.050568181818181825
121,gini,best,10.0,2,2,,42,0.0,0.982722731420896,0.9829545454545453
122,gini,best,10.0,2,2,,42,0.1,0.0048703415166829805,0.050568181818181825
