Combination Number,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,Average F1 Score (5-fold),Average Accuracy (5-fold),Test Accuracy,Test F1 Score
1,gini,,2,1,0.0,,,0.0,,0.0,0.992587507757557,0.9926136363636363,0.990909090909091,0.9909681049626702
2,gini,,2,1,0.0,,,0.0,balanced,0.0,0.9919919382063078,0.9920454545454545,0.990909090909091,0.9909681049626702
3,gini,,2,1,0.0,sqrt,,0.0,,0.0,0.9931589951041229,0.9931818181818182,0.9886363636363636,0.9887866161616162
4,gini,,2,1,0.0,sqrt,,0.0,balanced,0.0,0.9925656528940555,0.9926136363636363,0.9840909090909091,0.9842539296890621
5,gini,,2,1,0.0,log2,,0.0,,0.0,0.9931589951041229,0.9931818181818182,0.9886363636363636,0.9887866161616162
6,gini,,2,1,0.0,log2,,0.0,balanced,0.0,0.9925656528940555,0.9926136363636363,0.9840909090909091,0.9842539296890621
7,gini,,2,2,0.0,,,0.0,,0.0,0.9925624874487321,0.9926136363636363,0.990909090909091,0.9909681049626702
8,gini,,2,2,0.0,,,0.0,balanced,0.0,0.9913849204623416,0.9914772727272727,0.990909090909091,0.9909681049626702
9,gini,,2,2,0.0,sqrt,,0.0,,0.0,0.9937020165304192,0.99375,0.9931818181818182,0.9931754816901672
10,gini,,2,2,0.0,sqrt,,0.0,balanced,0.0,0.9931589951041229,0.9931818181818182,0.9931818181818182,0.9931754816901672
11,gini,,2,2,0.0,log2,,0.0,,0.0,0.9937020165304192,0.99375,0.9931818181818182,0.9931754816901672
12,gini,,2,2,0.0,log2,,0.0,balanced,0.0,0.9931589951041229,0.9931818181818182,0.9931818181818182,0.9931754816901672
13,gini,,2,4,0.0,,,0.0,,0.0,0.9902240100398225,0.990340909090909,0.990909090909091,0.9909681049626702
14,gini,,2,4,0.0,,,0.0,balanced,0.0,0.9902240100398225,0.990340909090909,0.990909090909091,0.9909681049626702
15,gini,,2,4,0.0,sqrt,,0.0,,0.0,0.9908825124636597,0.9909090909090909,0.9886363636363636,0.9886372421519275
16,gini,,2,4,0.0,sqrt,,0.0,balanced,0.0,0.9914435845647451,0.9914772727272727,0.9863636363636363,0.9863754794793652
17,gini,,2,4,0.0,log2,,0.0,,0.0,0.9908825124636597,0.9909090909090909,0.9886363636363636,0.9886372421519275
18,gini,,2,4,0.0,log2,,0.0,balanced,0.0,0.9914435845647451,0.9914772727272727,0.9863636363636363,0.9863754794793652
19,gini,,5,1,0.0,,,0.0,,0.0,0.9914236163050656,0.9914772727272727,0.990909090909091,0.9909681049626702
20,gini,,5,1,0.0,,,0.0,balanced,0.0,0.9919959665760375,0.9920454545454545,0.990909090909091,0.9909681049626702
21,gini,,5,1,0.0,sqrt,,0.0,,0.0,0.9931589951041229,0.9931818181818182,0.9931818181818182,0.9931754816901672
22,gini,,5,1,0.0,sqrt,,0.0,balanced,0.0,0.993154509574314,0.9931818181818182,0.9886363636363636,0.9887866161616162
23,gini,,5,1,0.0,log2,,0.0,,0.0,0.9931589951041229,0.9931818181818182,0.9931818181818182,0.9931754816901672
24,gini,,5,1,0.0,log2,,0.0,balanced,0.0,0.993154509574314,0.9931818181818182,0.9886363636363636,0.9887866161616162
25,gini,,5,2,0.0,,,0.0,,0.0,0.9919919382063078,0.9920454545454545,0.990909090909091,0.9909681049626702
26,gini,,5,2,0.0,,,0.0,balanced,0.0,0.9919943056305502,0.9920454545454545,0.990909090909091,0.9909681049626702
27,gini,,5,2,0.0,sqrt,,0.0,,0.0,0.9919862288630691,0.9920454545454545,0.9863636363636363,0.9865163525498891
28,gini,,5,2,0.0,sqrt,,0.0,balanced,0.0,0.993131467287995,0.9931818181818182,0.9863636363636363,0.9866170948616602
29,gini,,5,2,0.0,log2,,0.0,,0.0,0.9919862288630691,0.9920454545454545,0.9863636363636363,0.9865163525498891
30,gini,,5,2,0.0,log2,,0.0,balanced,0.0,0.993131467287995,0.9931818181818182,0.9863636363636363,0.9866170948616602
31,gini,,5,4,0.0,,,0.0,,0.0,0.9902240100398225,0.990340909090909,0.990909090909091,0.9909681049626702
32,gini,,5,4,0.0,,,0.0,balanced,0.0,0.9902240100398225,0.990340909090909,0.990909090909091,0.9909681049626702
33,gini,,5,4,0.0,sqrt,,0.0,,0.0,0.9908825124636597,0.9909090909090909,0.9886363636363636,0.9886372421519275
34,gini,,5,4,0.0,sqrt,,0.0,balanced,0.0,0.9914435845647451,0.9914772727272727,0.9863636363636363,0.9863754794793652
35,gini,,5,4,0.0,log2,,0.0,,0.0,0.9908825124636597,0.9909090909090909,0.9886363636363636,0.9886372421519275
36,gini,,5,4,0.0,log2,,0.0,balanced,0.0,0.9914435845647451,0.9914772727272727,0.9863636363636363,0.9863754794793652
