Combination Number,Number of Neighbors,Weights,Algorithm,Power Parameter (p),Leaf Size,Metric,Average F1 Score (5-fold),Average Accuracy (5-fold),Test Accuracy,Test F1 Score
1,1,uniform,auto,1.0,,minkowski,0.982319949069085,0.9823863636363637,0.9681818181818181,0.9685041810678873
2,1,uniform,auto,1.5,,minkowski,0.9840528043561797,0.9840909090909091,0.9659090909090909,0.9661747217429035
3,1,uniform,auto,2.0,,minkowski,0.9823501817813982,0.9823863636363637,0.9636363636363636,0.9641644026273213
4,1,uniform,auto,2.5,,minkowski,0.9812008479031743,0.98125,0.9590909090909091,0.9598672596783061
5,1,uniform,auto,3.0,,minkowski,0.981766735406668,0.9818181818181818,0.9613636363636363,0.9621384381994847
6,1,uniform,auto,3.5,,minkowski,0.9817651460819448,0.9818181818181818,0.9613636363636363,0.9621384381994847
7,1,uniform,auto,4.0,,minkowski,0.9817655269327655,0.9818181818181818,0.9613636363636363,0.9621384381994847
8,1,uniform,ball_tree,1.0,10.0,minkowski,0.982319949069085,0.9823863636363637,0.9681818181818181,0.9685041810678873
9,1,uniform,ball_tree,1.5,10.0,minkowski,0.9840528043561797,0.9840909090909091,0.9659090909090909,0.9661747217429035
10,1,uniform,ball_tree,2.0,10.0,minkowski,0.9823501817813982,0.9823863636363637,0.9636363636363636,0.9641644026273213
11,1,uniform,ball_tree,2.5,10.0,minkowski,0.9812008479031743,0.98125,0.9590909090909091,0.9598672596783061
12,1,uniform,ball_tree,3.0,10.0,minkowski,0.981766735406668,0.9818181818181818,0.9613636363636363,0.9621384381994847
13,1,uniform,ball_tree,3.5,10.0,minkowski,0.9817651460819448,0.9818181818181818,0.9613636363636363,0.9621384381994847
14,1,uniform,ball_tree,4.0,10.0,minkowski,0.9817655269327655,0.9818181818181818,0.9613636363636363,0.9621384381994847
15,1,uniform,ball_tree,1.0,20.0,minkowski,0.982319949069085,0.9823863636363637,0.9681818181818181,0.9685041810678873
16,1,uniform,ball_tree,1.5,20.0,minkowski,0.9840528043561797,0.9840909090909091,0.9659090909090909,0.9661747217429035
17,1,uniform,ball_tree,2.0,20.0,minkowski,0.9823501817813982,0.9823863636363637,0.9636363636363636,0.9641644026273213
18,1,uniform,ball_tree,2.5,20.0,minkowski,0.9812008479031743,0.98125,0.9590909090909091,0.9598672596783061
19,1,uniform,ball_tree,3.0,20.0,minkowski,0.981766735406668,0.9818181818181818,0.9613636363636363,0.9621384381994847
20,1,uniform,ball_tree,3.5,20.0,minkowski,0.9817651460819448,0.9818181818181818,0.9613636363636363,0.9621384381994847
21,1,uniform,ball_tree,4.0,20.0,minkowski,0.9817655269327655,0.9818181818181818,0.9613636363636363,0.9621384381994847
22,1,uniform,ball_tree,1.0,30.0,minkowski,0.982319949069085,0.9823863636363637,0.9681818181818181,0.9685041810678873
23,1,uniform,ball_tree,1.5,30.0,minkowski,0.9840528043561797,0.9840909090909091,0.9659090909090909,0.9661747217429035
